Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
ITER02,44.08966,12.392745,100,Italy,Savignano,BASLER 1300gm,TL-SG2210P,Production,21/01/2020 20:09
ITER03,44.524383,11.644608,35,Italy,Medicina,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 01:47
ITER04,44.507693,9.632487,550,Italy,Bedonia,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 17:01
ITER05,45.035376,9.72503,77,Italy,Piacenza,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
ITER06,44.59100278,10.65759722,153,Italy,Scandiano,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 18:25
ITER07,44.138456,11.635978,765,Italy,Monteromano,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 17:01
ITER08,44.413728,12.208311,12,Italy,Ravenna,None,TL-SG2210P,Operational,28/01/2021 20:20
ITFV01,45.642691,13.875086,412,Italy,Trieste,BASLER 1300gm,TL-SG2210P,Operational,27/01/2021 01:16
ITFV02,45.86186,12.77894,10,Italy,Chions,Unknown,Unknown,Operational,08/01/2021 16:25
ITLA01,41.83867,12.64638,50,Italy,Roma,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 19:28
ITLA02,41.3921,13.636,810,Italy,Gorga,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
ITLI01,44.425473,8.936114,310,Italy,Genova,BASLER 1300gm,TL-SG2210P,Operational,29/12/2020 06:21
ITLI02,44.17827,8.32745,35,Italy,FinaleLigure,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 19:00
ITLI03,44.575818,8.941862,390,Italy,Busalla,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
ITLO01,45.718831,9.582623,295,Italy,BrembatediSopra,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 18:54
ITLO02,45.883,9.2285806,1131,Italy,Sormano,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 19:55
ITLO03,44.81446,9.078854,670,Italy,Cecima,BASLER 1300gm,TL-SG2210P,Operational,25/01/2021 17:35
ITLO04,45.7058333,9.4286111,345,Italy,Merate,BASLER 1300gm,T1500G-10PS,Operational,10/01/2021 05:07
ITLO05,46.190379,9.981636,1207,Italy,Pontevaltellina,BASLER 1300gm,T1500G-10PS,Operational,28/01/2021 22:51
ITMA01,43.1463,13.067126,670,Italy,Camerino,BASLER 1300gm,T1500G-10PS,Operational,25/01/2021 05:08
ITMA02,43.301529,13.731111,20,Italy,CivitanovaMarche,None,TL-SG2210P,Operational,29/01/2021 00:58
